Team,Trial,Modality,Chart Type,Task Type,Task Number,Start Time,Time Separate,Gestures Rate Separate,Looks Rate Separate,Utterances Rate Separate,Time Mixed,Gestures Rate Mixed,Looks Rate Mixed,Utterances Rate Mixed,Time Same,Gestures Rate Same,Looks Rate Same,Utterances Rate Same
1,11,Hololens,BarChart,Open,T8,10/22/2020 8:16:48 AM,0,NaN,NaN,∞,8,0.25,0,0.125,39.5,0.35443037974683544,0.05063291139240506,0.25316455696202533
1,12,Hololens,ScatterPlot,Closed,T2,10/22/2020 8:18:18 AM,13.5,0.37037037037037035,0,0.4444444444444444,5,0.2,0,0,21,0.14285714285714285,0.09523809523809523,0.38095238095238093
2,1,Hololens,Network,Closed,T9,10/23/2020 9:14:29 PM,26,0.07692307692307693,0,0.07692307692307693,11,0.18181818181818182,0,0.09090909090909091,42,0.09523809523809523,0.19047619047619047,0.09523809523809523
2,2,Hololens,BarChart,Open,T7,10/23/2020 9:17:34 PM,32,0.375,0.03125,0.1875,6,0,0,0,42,0.14285714285714285,0.07142857142857142,0.14285714285714285
2,3,Hololens,ScatterPlot,Closed,T1,10/23/2020 9:20:11 PM,49,0.14285714285714285,0.10204081632653061,0.2653061224489796,30,0.1,0.03333333333333333,0.1,18.5,0.43243243243243246,0.05405405405405406,0.3783783783783784
2,4,Hololens,ScatterPlot,Closed,T2,10/23/2020 9:22:38 PM,9.5,0.3157894736842105,0,0.21052631578947367,0,NaN,NaN,NaN,0,NaN,NaN,NaN
2,5,Hololens,BarChart,Closed,T5,10/23/2020 9:23:21 PM,10,0.4,0,0.3,12,0.25,0.08333333333333333,0.3333333333333333,23,0.21739130434782608,0.2608695652173913,0.17391304347826086
2,6,Hololens,BarChart,Open,T8,10/23/2020 9:24:50 PM,5,0.2,0,0.4,12.5,0.24,0.16,0,17,0.47058823529411764,0.23529411764705882,0.11764705882352941
2,7,Hololens,Network,Open,T12,10/23/2020 9:26:04 PM,4,0,0.5,0.25,8,0.25,0.125,0.25,37.5,0.3466666666666667,0.08,0.13333333333333333
2,8,Hololens,ScatterPlot,Open,T3,10/23/2020 9:27:29 PM,16,0.1875,0.1875,0.3125,35,0.14285714285714285,0,0.17142857142857143,3.5,0,0,0.2857142857142857
2,9,Hololens,BarChart,Closed,T6,10/23/2020 9:28:59 PM,11,0.18181818181818182,0,0.18181818181818182,21,0.14285714285714285,0.09523809523809523,0.3333333333333333,3,0.3333333333333333,0,0
2,10,Hololens,ScatterPlot,Open,T4,10/23/2020 9:30:26 PM,6.5,0.3076923076923077,0.15384615384615385,0.15384615384615385,20,0.2,0,0,65.5,0.2748091603053435,0.1984732824427481,0.16793893129770993
2,11,Hololens,Network,Open,T11,10/23/2020 9:33:48 PM,25,0.48,0.08,0.28,9,0.1111111111111111,0,0.2222222222222222,11,0.36363636363636365,0,0
2,12,Hololens,Network,Closed,T10,10/23/2020 9:35:16 PM,17.5,0.22857142857142856,0,0.05714285714285714,17.5,0.17142857142857143,0.05714285714285714,0.2857142857142857,14,0.2857142857142857,0.07142857142857142,0.21428571428571427
3,1,Hololens,ScatterPlot,Open,T3,10/24/2020 1:15:02 PM,49.5,0.26262626262626265,0.020202020202020204,0.08080808080808081,45.5,0.2857142857142857,0.02197802197802198,0.17582417582417584,26,0.038461538461538464,0.11538461538461539,0
3,2,Hololens,BarChart,Closed,T6,10/24/2020 1:19:01 PM,6,0,0,0.3333333333333333,9.5,0.21052631578947367,0.10526315789473684,0.42105263157894735,22,0.3181818181818182,0.18181818181818182,0.3181818181818182
3,3,Hololens,ScatterPlot,Closed,T1,10/24/2020 1:20:43 PM,75.5,0.26490066225165565,0.052980132450331126,0.2251655629139073,29,0.13793103448275862,0.10344827586206896,0.20689655172413793,2.5,0,0,0
3,4,Hololens,BarChart,Open,T7,10/24/2020 1:23:14 PM,32,0.25,0.03125,0.125,9,0,0.1111111111111111,0.1111111111111111,7,0,0.2857142857142857,0.14285714285714285
3,5,Hololens,Network,Closed,T10,10/24/2020 1:25:22 PM,63,0.2222222222222222,0.06349206349206349,0.14285714285714285,21,0.23809523809523808,0.047619047619047616,0.23809523809523808,37,0.05405405405405406,0.08108108108108109,0.08108108108108109
3,6,Hololens,BarChart,Closed,T5,10/24/2020 1:29:01 PM,18,0.2777777777777778,0.7222222222222222,0.16666666666666666,39.5,0.12658227848101267,0.17721518987341772,0.379746835443038,27.5,0.07272727272727272,0.21818181818181817,0.10909090909090909
3,7,Hololens,ScatterPlot,Closed,T2,10/24/2020 1:31:30 PM,8,0,0,0.25,11.5,0.2608695652173913,0,0.17391304347826086,28,0.35714285714285715,0.35714285714285715,0.25
3,8,Hololens,Network,Open,T12,10/24/2020 1:33:43 PM,24,0.08333333333333333,0.125,0.16666666666666666,11,0,0.09090909090909091,0,40.5,0.12345679012345678,0.2222222222222222,0.07407407407407407
3,9,Hololens,Network,Closed,T9,10/24/2020 1:36:24 PM,39.5,0.17721518987341772,0.0759493670886076,0.1518987341772152,67.5,0.2814814814814815,0.014814814814814815,0.1925925925925926,14,0.2857142857142857,0.07142857142857142,0.21428571428571427
3,10,Hololens,BarChart,Open,T8,10/24/2020 1:39:19 PM,18.5,0.10810810810810811,0.10810810810810811,0.32432432432432434,13.5,0.37037037037037035,0.07407407407407407,0.4444444444444444,40.5,0.345679012345679,0.2716049382716049,0.2962962962962963
3,11,Hololens,ScatterPlot,Open,T4,10/24/2020 1:41:28 PM,23.5,0.2978723404255319,0.0425531914893617,0.0851063829787234,14.5,0.06896551724137931,0,0.20689655172413793,51,0.11764705882352941,0.17647058823529413,0.21568627450980393
